NAME,DATE,HOUR,VMX0,LAT,LON,MSLP,ID,DELV12,DELV24,DELV36,DELV48,PER,SHRD,D200,RHLO,PX30,SDBT,POT,OHC,TPW,PC2,U200,TPWC,AVBT,RSST
ALEX,980727,12,25,11.3,-25.4,1009,AL011998,0,5,10,10,9999,6.3,103,68,72,13.8,-101,12,0,-58,-7.9,55.7,-473,27.4
ALEX,980727,18,25,11.7,-27.2,1009,AL011998,0,5,10,10,9999,11.2,118,69,55,12.6,-102,17,0,-10,-6.4,55.7,-360,27.4
ALEX,980728,0,25,12.2,-29.2,1009,AL011998,5,10,10,10,0,8.6,116,71,70,12.8,-105,21,0,-3,-8.8,56.9,-381,27.4
ALEX,980728,6,25,12.6,-31.3,1008,AL011998,5,10,10,15,0,12.2,91,71,57,12.2,-100,29,0,-44,-6,52.7,-481,27.2
ALEX,980728,12,30,12.9,-33.3,1007,AL011998,5,5,5,10,5,10.5,88,71,83,10.1,-89,15,190,-46,-6.5,55.3,-516,27.1
ALEX,980728,18,30,13.1,-35.1,1006,AL011998,5,5,10,15,5,9.7,44,72,35,15.9,-86,22,15,36,-7.2,56.6,-270,27.1
ALEX,980729,0,35,13.3,-36.8,1005,AL011998,0,0,5,10,5,9.9,37,74,56,14.5,-80,24,0,-6,-10.3,57.7,-443,27.1
ALEX,980729,6,35,13.5,-38.5,1005,AL011998,0,5,10,10,5,10.6,36,76,45,15.4,-75,19,0,7,-8.6,59.8,-411,26.8
ALEX,980729,12,35,13.7,-40,1005,AL011998,0,5,10,10,0,5.8,45,73,17,16.8,-73,23,29,99,-8.4,57.6,-130,26.7
ALEX,980729,18,35,13.9,-41.3,1005,AL011998,5,10,10,5,0,7.5,32,71,45,17.4,-75,22,71,-6,-4.8,54.8,-399,26.8
ALEX,980730,0,35,14.2,-42.6,1005,AL011998,5,10,10,0,0,7.9,47,69,31,23.6,-79,33,0,48,-5.6,54.9,-261,26.9
ALEX,980730,6,40,14.4,-43.9,1003,AL011998,5,5,0,-5,5,6.1,34,70,51,13.9,-83,42,0,-19,-6.1,55.3,-463,27.2
ALEX,980730,12,40,14.7,-45,1003,AL011998,5,5,-5,0,5,7,32,68,64,13.5,-88,42,44,-29,-6.9,59.3,-495,27.4
ALEX,980730,18,45,15.1,-46.1,1003,AL011998,0,-5,-10,-5,5,7.9,43,68,72,13.5,-84,57,0,-53,-5.6,57.4,-566,27.5
ALEX,980731,0,45,15.4,-47.1,1002,AL011998,0,-10,-5,-10,5,6.9,51,66,54,23.1,-84,56,0,-21,-9.5,57.7,-441,27.6
ALEX,980731,6,45,15.6,-48.1,1003,AL011998,-5,-10,-5,-10,0,10.1,51,67,52,19.7,-88,57,0,2,-11.5,56.2,-360,27.7
ALEX,980731,12,45,15.7,-49.2,1003,AL011998,-10,-5,-10,-10,0,9.1,28,68,29,30.2,-87,66,0,79,-10.1,57.2,-200,27.8
ALEX,980731,18,40,15.8,-50.4,1005,AL011998,-5,0,-5,-10,-5,9.5,-6,68,11,13,-91,57,35,167,-13,58.1,42,27.8
ALEX,980801,0,35,15.9,-51.7,1007,AL011998,5,0,0,9999,-10,15.7,-20,70,16,17.3,-101,67,0,192,-11.8,55.8,66,28.1
ALEX,980801,6,35,16.3,-53.1,1009,AL011998,5,0,-5,9999,-5,15.5,-12,70,29,31.7,-105,67,0,100,-7.5,55.3,-192,28.3
ALEX,980801,12,40,16.9,-54.3,1009,AL011998,-5,-5,9999,9999,5,20.3,4,69,11,19,-101,66,215,187,-4.5,53.3,45,28.4
ALEX,980801,18,40,17.7,-55.4,1012,AL011998,-5,-10,9999,9999,5,18.1,-2,66,43,27.4,-100,67,255,55,-4.3,54.4,-284,28.5
ALEX,980802,0,35,18.4,-56.5,1012,AL011998,0,9999,9999,9999,-5,20.7,-9,66,10,15.6,-103,61,386,183,-2.1,50.5,76,28.5
ALEX,980802,6,35,19,-57.7,1012,AL011998,-5,9999,9999,9999,-5,21.4,-15,64,3,5.9,-105,55,635,226,3.3,48.8,167,28.6
ALEX,980802,12,35,19.9,-58.6,1012,AL011998,9999,9999,9999,9999,0,24.4,-43,67,7,11.3,-105,58,546,228,3.2,48.1,152,28.6
ALEX,980802,18,30,21,-59.3,1014,AL011998,9999,9999,9999,9999,-5,18.1,-11,65,9999,9999,-110,49,644,9999,2.7,49.3,9999,28.5
BONN,980819,12,25,14.7,-48.1,1009,AL021998,5,10,15,25,9999,4.4,143,74,9999,9999,-115,62,0,9999,-24.1,57.6,9999,28.4
BONN,980819,18,30,15.4,-50.1,1009,AL021998,0,5,15,25,9999,14,112,74,75,14.5,-105,62,0,-53,-26.7,59.6,-460,28.4
BONN,980820,0,30,16.2,-52.2,1009,AL021998,5,10,20,35,5,10.8,105,73,32,23.7,-108,70,0,34,-27.3,60,-246,28.6
BONN,980820,6,30,16.9,-54.7,1008,AL021998,5,15,25,40,0,1.2,83,73,61,25.7,-112,73,166,-34,-24.7,62.3,-420,28.8
BONN,980820,12,35,17.3,-57.3,1007,AL021998,5,15,30,40,5,7.9,47,72,61,23.2,-110,82,0,-4,-24.9,62.2,-300,28.9
BONN,980820,18,35,18.2,-59.6,1006,AL021998,10,20,35,50,5,14.1,60,71,66,18.1,-108,78,60,-47,-24.1,60.9,-411,29
BONN,980821,0,40,18.7,-61.3,1005,AL021998,10,25,35,50,5,10.2,60,69,67,16.1,-97,94,44,-43,-25.2,62,-433,29
BONN,980821,6,45,19.1,-62.9,1002,AL021998,10,25,40,50,10,10.3,23,67,45,25.9,-92,100,15,-3,-23.1,63.1,-342,29
BONN,980821,12,50,19.5,-64.5,1000,AL021998,15,25,40,50,10,7.4,42,68,44,25.2,-89,87,0,5,-20.5,62.9,-360,29.1
BONN,980821,18,55,20.3,-65.9,999,AL021998,15,30,40,45,10,9.1,55,69,71,19.5,-78,90,0,-81,-19.5,66.5,-566,29.1
BONN,980822,0,65,21.1,-67.3,991,AL021998,10,25,35,35,15,1.5,31,67,84,12.9,-77,67,0,-143,-13,66.1,-644,29.5
BONN,980822,6,70,21.8,-68.7,989,AL021998,15,25,30,30,15,7.9,9,67,98,8,-70,96,0,-145,-4.5,69,-653,29.4
BONN,980822,12,75,22.3,-69.8,980,AL021998,15,25,25,25,10,1.1,27,70,99,6.1,-64,83,0,-169,-4.8,68.9,-687,29.5
