NAME,DATE,HOUR,VMX0,LAT,LON,MSLP,ID,DELV12,DELV24,DELV36,DELV48,PER,SHRD,D200,RHLO,PX30,SDBT,POT,OHC,TPW,PC2,U200,TPWC,AVBT,RSST
AGAT,980611,12,25,12,-104.6,1009,EP011998,5,5,5,20,9999,11.8,96,86,68,17.3,-123,73,0,-71,-15.2,65.5,-505,29.4
AGAT,980611,18,30,12.1,-105.4,1008,EP011998,0,0,10,20,9999,13.6,117,83,87,11.4,-117,75,0,-101,-18.9,61,-535,29.3
AGAT,980612,0,30,12.1,-106.3,1008,EP011998,0,0,15,25,5,16.5,146,82,90,13.1,-111,74,0,-100,-18.7,56.5,-486,29.1
AGAT,980612,6,30,12,-107,1007,EP011998,0,10,20,25,0,10,126,81,79,13.9,-110,68,0,-78,-14,59.2,-522,29
AGAT,980612,12,30,12,-107.9,1006,EP011998,0,15,25,20,0,12.7,120,83,69,21.8,-108,73,0,-85,-16.2,60,-509,28.8
AGAT,980612,18,30,12.3,-108.9,1005,EP011998,10,20,25,20,0,16.1,112,83,68,19.9,-100,62,0,-34,-20,62.5,-325,28.3
AGAT,980613,0,30,12.8,-110.1,1005,EP011998,15,25,20,15,0,13.2,100,81,85,20.5,-101,36,0,-90,-16.2,63.4,-458,28.3
AGAT,980613,6,40,13.6,-111.5,1000,EP011998,10,15,10,0,10,12.7,59,78,97,13.6,-81,22,0,-114,-18.8,65,-563,27.5
AGAT,980613,12,45,14.5,-113,995,EP011998,10,5,0,-10,15,18,74,77,94,9.9,-43,12,0,-110,-17.9,63.2,-585,26.9
AGAT,980613,18,50,15.4,-114.7,994,EP011998,5,0,-10,-20,10,13.9,77,74,93,12.3,-17,2,0,-91,-14.6,61.8,-514,25.9
AGAT,980614,0,55,16.3,-116.2,993,EP011998,-5,-10,-20,-25,10,11.6,87,73,76,13.1,0,3,0,-92,-14.2,61.4,-505,25.4
AGAT,980614,6,55,17.1,-117.6,994,EP011998,-5,-15,-25,-30,5,9.2,65,66,56,14.8,9,2,35,-28,-8,59.4,-399,24.9
AGAT,980614,12,50,17.8,-118.8,994,EP011998,-5,-15,-20,-25,-5,5,36,65,16,13.8,18,2,0,67,-5.1,57,-228,24.3
AGAT,980614,18,50,18.4,-119.7,995,EP011998,-10,-20,-25,-30,-5,2.8,28,64,10,10.9,40,2,579,107,-6.4,55,-159,23.7
AGAT,980615,0,45,18.8,-120.4,1000,EP011998,-10,-15,-20,9999,-5,4.6,43,63,33,11.7,43,2,0,53,-8.9,54.3,-331,23.2
AGAT,980615,6,40,19.2,-121.1,1003,EP011998,-10,-15,-20,9999,-10,10.9,30,63,22,13.2,40,2,231,72,-11.3,56.1,-232,22.7
AGAT,980615,12,35,19.4,-121.7,1005,EP011998,-5,-10,9999,9999,-10,9,-1,63,3,9.4,35,2,516,123,-5.1,56.8,-109,22.5
AGAT,980615,18,30,19.6,-122.2,1007,EP011998,-5,-10,9999,9999,-10,7.5,-13,62,0,7.4,30,1,225,175,-2.2,57.3,23,22.4
AGAT,980616,0,30,19.8,-122.7,1008,EP011998,-5,9999,9999,9999,-5,8.7,1,63,0,6.9,30,1,271,182,-0.2,57.6,34,22.3
AGAT,980616,6,25,19.9,-123,1008,EP011998,-5,9999,9999,9999,-5,11.7,26,62,0,4.8,25,1,411,178,0,56.1,23,22.2
AGAT,980616,12,25,19.9,-123,1009,EP011998,9999,9999,9999,9999,-5,9.3,5,60,0,3.7,25,1,327,181,3.4,54.5,33,22.2
