GeoName,State,Description,Unit,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019
Alabama,AL,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,149613.2 ,155171.9 ,157697.7 ,157137.9 ,161258.0 ,165250.5 ,175916.8 ,181871.0 ,185337.0 ,186499.4 ,185280.6 ,178893.4 ,183014.5 ,185666.9 ,186553.9 ,188814.2 ,187568.0 ,189428.8 ,191523.4 ,193693.0 ,198053.7 ,200829.4 
Alaska,AK,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,41238.4 ,40788.2 ,39566.8 ,41019.8 ,42915.8 ,42132.7 ,43752.3 ,45064.7 ,48538.5 ,51144.0 ,50891.0 ,55910.6 ,54219.0 ,54722.6 ,57717.5 ,54748.1 ,53480.6 ,54015.3 ,53289.0 ,52825.9 ,52928.7 ,53255.2 
Arizona,AZ,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,182983.5 ,198002.1 ,207774.8 ,212648.3 ,219370.4 ,233339.1 ,243192.6 ,263047.3 ,277189.0 ,284811.7 ,277357.6 ,254906.9 ,257396.9 ,263144.1 ,268068.2 ,269967.4 ,274112.9 ,281935.6 ,291259.6 ,302117.8 ,314016.1 ,323597.6 
Arkansas,AR,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,84791.3 ,89339.5 ,90224.2 ,90081.0 ,92989.3 ,96714.2 ,101194.5 ,104758.6 ,107084.1 ,106272.5 ,105923.2 ,102513.5 ,105223.6 ,107320.6 ,107718.8 ,110301.4 ,111729.9 ,112938.9 ,113490.4 ,114950.7 ,116698.8 ,117447.1 
California,CA,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,1470543.0 ,1583231.3 ,1709490.6 ,1707064.7 ,1747199.5 ,1829296.5 ,1902550.4 ,1988736.5 ,2072274.1 ,2103014.8 ,2110596.1 ,2025633.2 ,2056990.4 ,2090836.8 ,2144089.6 ,2219610.5 ,2316331.2 ,2437366.9 ,2519133.6 ,2628314.6 ,2708966.9 ,2800505.4 
Colorado,CO,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,201034.9 ,216139.3 ,232832.1 ,236310.6 ,236869.2 ,238843.8 ,241224.7 ,251266.6 ,256152.2 ,264664.5 ,267964.9 ,262463.3 ,265319.3 ,268553.4 ,273593.9 ,282605.5 ,294812.0 ,308898.9 ,315793.0 ,328510.2 ,342865.6 ,356280.2 
Connecticut,CT,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,196175.1 ,202264.4 ,216293.1 ,219932.4 ,219956.8 ,222125.2 ,236698.6 ,242380.3 ,251629.6 ,260993.1 ,259385.0 ,248612.1 ,247876.8 ,242323.3 ,244114.4 ,238621.4 ,237700.4 ,245304.5 ,245966.1 ,248077.1 ,249043.3 ,251329.8 
Delaware,DE,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,50115.1 ,53942.2 ,56265.5 ,59013.7 ,56897.3 ,57916.4 ,60545.8 ,59821.9 ,61365.4 ,61229.4 ,58637.7 ,60847.4 ,60577.0 ,62501.4 ,61866.7 ,59496.1 ,64123.6 ,66527.0 ,62889.0 ,61851.1 ,63162.6 ,64319.3 
District of Columbia,DC,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,81056.5 ,84547.6 ,85186.1 ,88443.8 ,91221.0 ,93137.5 ,97904.5 ,100009.4 ,100315.9 ,103031.1 ,106805.5 ,106376.4 ,109940.9 ,111929.5 ,112610.0 ,112811.4 ,114814.8 ,117011.0 ,119420.2 ,120210.9 ,122661.9 ,123929.3 
Florida,FL,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,588868.1 ,614442.1 ,641249.0 ,658349.1 ,684994.9 ,714958.5 ,757581.2 ,806805.0 ,834434.5 ,835637.2 ,803607.1 ,759432.2 ,766653.9 ,763484.1 ,768722.9 ,784238.4 ,806029.4 ,842269.4 ,870963.2 ,901903.5 ,936580.3 ,963255.9 
Georgia,GA,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,353292.8 ,378237.4 ,391210.2 ,395041.3 ,399790.5 ,410866.0 ,429301.7 ,445803.4 ,451010.5 ,452706.7 ,442300.5 ,425155.8 ,430702.0 ,438060.2 ,443566.1 ,449796.1 ,465137.8 ,484378.4 ,500909.3 ,519452.6 ,538730.8 ,547422.7 
Hawaii,HI,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,54352.7 ,55174.2 ,56440.5 ,56133.3 ,57913.9 ,60828.5 ,64925.7 ,68553.0 ,70384.3 ,71179.7 ,71681.2 ,69122.5 ,71075.0 ,72236.3 ,73676.7 ,74294.1 ,74490.6 ,77176.6 ,79093.5 ,81039.5 ,82203.9 ,82471.4 
Idaho,ID,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,38936.6 ,42645.0 ,47495.2 ,46197.7 ,47334.4 ,48624.8 ,51388.8 ,55380.9 ,57598.9 ,58716.6 ,59744.9 ,57073.0 ,57952.9 ,57825.3 ,57780.1 ,59966.8 ,61663.2 ,63235.7 ,65643.2 ,68412.2 ,72455.4 ,74937.1 
Illinois,IL,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,596185.0 ,618287.8 ,640878.6 ,642463.5 ,646998.4 ,656380.3 ,675720.7 ,688522.6 ,706084.1 ,712910.5 ,701791.9 ,683432.0 ,694001.9 ,706705.2 ,720881.5 ,719922.2 ,735876.3 ,747666.8 ,746370.0 ,752459.2 ,769631.2 ,773135.5 
Indiana,IN,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,246119.4 ,254015.2 ,264054.4 ,258792.5 ,265089.5 ,275172.6 ,284609.6 ,285607.9 ,291705.2 ,299415.9 ,298560.6 ,277763.6 ,295526.0 ,296674.3 ,297816.1 ,303966.8 ,313830.9 ,311850.4 ,316545.6 ,322969.3 ,332156.8 ,337636.1 
Iowa,IA,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,114400.3 ,116832.5 ,122360.4 ,120923.9 ,124277.0 ,129246.4 ,139960.2 ,143905.3 ,146068.4 ,152466.2 ,149735.5 ,146223.6 ,150099.2 ,152153.2 ,157838.6 ,157902.5 ,165641.4 ,170545.9 ,169488.8 ,168976.5 ,172844.7 ,173515.4 
Kansas,KS,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,108386.0 ,110955.2 ,113937.6 ,114152.7 ,115707.1 ,117541.4 ,118320.6 ,122325.6 ,128914.9 ,135574.4 ,138822.5 ,133743.4 ,135182.0 ,138782.0 ,140764.1 ,140355.8 ,144131.5 ,147929.8 ,152511.5 ,154456.6 ,158192.7 ,160059.3 
Kentucky,KY,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,151173.1 ,155866.0 ,151833.8 ,151767.5 ,155672.9 ,159399.5 ,163397.6 ,168840.3 ,173508.0 ,171850.3 ,172242.2 ,165300.6 ,172266.7 ,174202.7 ,176323.1 ,179499.1 ,179888.5 ,182487.9 ,183454.9 ,184600.8 ,187507.4 ,190811.5 
Louisiana,LA,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,208471.9 ,212728.9 ,206462.5 ,208982.4 ,213120.2 ,221295.9 ,231479.8 ,245727.5 ,243378.5 ,234521.9 ,235468.2 ,238921.7 ,247856.5 ,234299.7 ,233481.2 ,226345.4 ,232746.2 ,230434.0 ,225361.8 ,228819.3 ,235021.9 ,239967.2 
Maine,ME,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,44223.8 ,46390.2 ,48524.6 ,49418.4 ,50636.0 ,51733.5 ,53529.4 ,53606.5 ,54279.0 ,54017.1 ,53925.8 ,53075.6 ,53790.1 ,53088.2 ,52866.6 ,52456.3 ,53445.1 ,53879.3 ,55088.1 ,55964.7 ,57302.7 ,58793.3 
Maryland,MD,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,231791.8 ,240870.4 ,250851.4 ,260906.1 ,270898.8 ,277982.6 ,291995.5 ,306126.0 ,311609.6 ,311951.5 ,315724.0 ,314737.4 ,327088.7 ,333963.8 ,334555.5 ,334431.0 ,339991.3 ,349146.8 ,359987.5 ,365857.0 ,368810.4 ,374039.3 
Massachusetts,MA,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,315056.7 ,332253.9 ,359286.0 ,363865.6 ,364926.0 ,374692.5 ,383895.8 ,391462.3 ,398277.7 ,408524.9 ,412191.8 ,408071.6 ,425028.7 ,435158.0 ,444478.2 ,446190.4 ,453778.2 ,471979.2 ,479184.9 ,490874.1 ,507806.0 ,519961.6 
Michigan,MI,Real GDP (millions of chained 2012 dollars)  ,Millions of chained 2012 dollars,406342.6 ,429690.5 ,438344.6 ,423746.0 ,435280.8 ,442746.4 ,444437.7 ,450635.9 ,443561.4 ,441120.4 ,416626.5 ,380048.2 ,400941.8 ,411427.2 ,418742.3 ,425327.3 ,430935.6 ,442287.6 ,451025.9 ,457341.5 ,467828.0 ,471648.1 
