storm name,landfall date,damage ranke,current damage($ 2020),base damage,landfall state,category,winds(MPH)
Gustav,"Sep 10,2002",247,0,100000,NC,TS,65
Florence,"Sep 09,1988",244,2000000,2920000,LA,1,80
Dean,"Jul 30,1995",245,2000000,500000,TX,TS,45
Chris,"Sep 11,1982",242,3000000,2000000,LA,TS,65
Bonnie,"Jun 26,1986",239,7000000,2000000,TX,1,85
Alex,"Aug 03,2004",238,7000000,4000000,NC,1,80
Arthur,"Jul 04,2014",237,7000000,6000000,NC,2,100
Fay,"Sep 07,2002",236,8000000,4500000,TX,TS,60
Kyle,"Oct 11,2002",234,11000000,5000000,SC,TS,40
Alex,"Jun 30,2010",232,15000000,10000000,TX,TS,70
Florence,"Sep 26,1953",230,21000000,200000,FL,1,85
Storm 7 in 1947,"Oct 06,1947",229,22000000,100000,FL,TS,45
Earl,"Sep 02,2010",228,22000000,18000000,NC,TS,70
Earl,"Sep 02,2010",228,22000000,18000000,NC,TS,70
Gordon,"Sep 17,2000",226,29000000,10800000,FL,TS,65
Daisy,"Oct 07,1962",224,32000000,1100000,ME,TS,60
Harvey,"Sep 21,1999",223,37000000,15000000,FL,TS,60
Helene,"Sep 25,2000",221,38000000,16000000,FL,TS,40
Hanna,"Sep 14,2002",222,38000000,20000000,MS,TS,60
Carol,"Aug 30,1954",219,42000000,227500,NC,2,105
Storm 3 in 1947,"Aug 24,1947",214,47000000,200000,TX,1,85
Arlene,"Jun 20,1993",211,60000000,22000000,TX,TS,40
Humberto,"Sep 13,2007",210,63000000,50000000,TX,1,90
Barry,"Aug 05,2001",208,67000000,30000000,FL,TS,70
Bob,"Jul 11,1979",202,90000000,20000000,LA,1,85
Bill,"Jun 30,2003",201,95000000,50000000,LA,TS,60
Inez,"Oct 04,1966",196,120000000,5000000,FL,1,85
Bret,"Aug 22,1999",195,120000000,60000000,TX,3,115
Charley,"Aug 22,1998",194,120000000,50000000,TX,TS,45
Ophelia,"Sep 15,2005",190,130000000,70000000,NC,1,75
Mitch,"Nov 05,1998",188,150000000,40000000,FL,TS,65
Charley,"Aug 14,2004",185,190000000,90000000,SC,1,80
Bob,"Jul 25,1985",184,190000000,20000000,SC,1,75
Danny,"Aug 15,1985",182,200000000,50000000,LA,1,90
Earl,"Sep 02,1998",177,220000000,79000000,FL,1,80
Storm 2 in 1929,"Sep 30,1929",178,220000000,200000,FL,1,75
Nate,"Oct 08,2017",176,230000000,225000000,MS,1,75
Gaston,"Aug 29,2004",175,240000000,130000000,SC,1,75
Hanna,"Sep 06,2008",172,270000000,160000000,SC,TS,70
Amelia,"Jul 30,1978",169,280000000,20000000,TX,TS,50
Jerry,"Oct 15,1989",166,320000000,70000000,TX,1,85
Claudette,"Jul 15,2003",165,330000000,180000000,TX,1,90
Hermine,"Sep 06,2010",161,370000000,240000000,TX,TS,70
Dennis,"Sep 04,1999",157,390000000,157000000,NC,TS,70
Storm 3 in 1911,"Aug 28,1911",155,420000000,1000000,SC,2,100
Storm 1 in 1918,"Aug 06,1918",154,420000000,5000000,LA,3,120
Cindy,"Jul 05,2005",153,420000000,320000000,LA,1,75
Storm 3 in 1944,"Aug 01,1944",150,520000000,2000000,NC,1,85
Gabrielle,"Sep 14,2001",149,570000000,230000000,FL,TS,70
Storm 2 in 1919,"Sep 09,1919",148,600000000,2000000,FL,4,150
Hermine,"Sep 02,2016",146,610000000,550000000,FL,1,80
Debra,"Jul 25,1959",145,620000000,7000000,TX,1,85
Diana,"Sep 13,1984",144,620000000,65000000,NC,2,110
Isidore,"Sep 26,2002",143,630000000,330000000,LA,TS,65
Belle,"Aug 09,1976",135,720000000,100000000,NY,1,85
Helene,"Sep 27,1958",133,740000000,11200000,NC,3,120
Ernesto,"Aug 29,2006",134,740000000,500000000,FL,TS,45
Fay,"Aug 19,2008",132,830000000,560000000,FL,TS,65
Storm 2 in 1920,"Sep 21,1920",128,1020000000,1450000,LA,2,100
Bertha,"Jul 12,1996",129,1020000000,270000000,NC,2,105
