lat,lon,City,State,County,Country,Year,GDP
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1990,10.73
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1991,11.02
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1992,11.31
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1993,11.61
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1994,11.92
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1995,12.16
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1996,12.69
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1997,13.25
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1998,13.84
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1999,14.45
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2000,14.84
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2001,15.2
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2002,15.56
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2003,15.94
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2004,16.33
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2005,16.64
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2006,17.17
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2007,17.64
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2008,18.1
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2009,18.56
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2010,19.01
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2011,19.44
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2012,19.84
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2013,20.24
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2014,20.64
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2015,21.06
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2016,21.5
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2017,21.94
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1990,10.73
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1991,11.02
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1992,11.31
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1993,11.61
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1994,11.92
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1995,12.16
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1996,12.69
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1997,13.25
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1998,13.84
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,1999,14.45
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2000,14.84
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2001,15.2
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2002,15.56
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2003,15.94
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2004,16.33
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2005,16.64
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2006,17.17
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2007,17.64
33.92156,-78.02027,Southport,North Carolina,Brunswick County,US,2008,18.1
