,Normalized?,Predictor Set,ML Name,RMS Error,Param
13,Normalized Mean,Set1,Random_Forest,11.98482417,{'n_estimators': 100}
18,Not Normalized Mean,Set1,Random_Forest,11.99840273,{'n_estimators': 100}
14,Normalized Mean,Set1,Ensemble Regressor,13.38826443,{}
19,Not Normalized Mean,Set1,Ensemble Regressor,13.38826443,{}
3,Normalized,Set1,Random_Forest,13.62403284,{'n_estimators': 64}
11,Normalized Mean,Set1,K_Neighbors,13.64315061,{'n_neighbors': 30}
16,Not Normalized Mean,Set1,K_Neighbors,13.64315061,{'n_neighbors': 30}
8,Not Normalized,Set1,Random_Forest,13.66261757,{'n_estimators': 100}
12,Normalized Mean,Set1,Decision_Tree,14.13325181,"{'max_depth': 5, 'min_samples_split': 5}"
17,Not Normalized Mean,Set1,Decision_Tree,14.13325181,"{'max_depth': 5, 'min_samples_split': 5}"
10,Normalized Mean,Set1,Linear_Regression,14.24219894,{}
15,Not Normalized Mean,Set1,Linear_Regression,14.24219894,{}
4,Normalized,Set1,Ensemble Regressor,15.17891815,{}
9,Not Normalized,Set1,Ensemble Regressor,15.17891815,{}
1,Normalized,Set1,K_Neighbors,15.46831681,{'n_neighbors': 30}
6,Not Normalized,Set1,K_Neighbors,15.46831681,{'n_neighbors': 30}
0,Normalized,Set1,Linear_Regression,15.91525769,{}
5,Not Normalized,Set1,Linear_Regression,15.91525769,{}
2,Normalized,Set1,Decision_Tree,16.21116005,"{'max_depth': 5, 'min_samples_split': 5}"
7,Not Normalized,Set1,Decision_Tree,16.21843088,"{'max_depth': 5, 'min_samples_split': 5}"
