"","lat","lon","City","State","County","Country","Year","Precipitation"
"1",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1990",329.812654185248
"2",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1991",475.738736190686
"3",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1992",621.664818196124
"4",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1993",767.590900201562
"5",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1994",913.516982207
"6",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1995",1059.44306421244
"7",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1996",1205.36914621788
"8",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1997",1351.29522822331
"9",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1998",1497.22131022875
"10",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1999",1643.14739223419
"11",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2000",1789.07347423963
"12",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2001",1934.99955624507
"13",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2002",2080.9256382505
"14",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2003",2226.85172025594
"15",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2004",2372.77780226138
"16",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2005",2518.70388426682
"17",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2006",2664.62996627226
"18",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2007",2810.5560482777
"19",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2008",2956.48213028313
"20",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2009",3102.40821228857
"21",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2010",3248.33429429401
"22",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2011",3394.26037629945
"23",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2012",3540.18645830489
"24",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2013",3686.11254031033
"25",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2014",3832.03862231576
"26",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2015",3977.9647043212
"27",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2016",4123.89078632664
"28",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2017",4269.81686833208
"29",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1990",329.812654185248
"30",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1991",475.738736190686
"31",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1992",621.664818196124
"32",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1993",767.590900201562
"33",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1994",913.516982207
"34",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1995",1059.44306421244
"35",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1996",1205.36914621788
"36",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1997",1351.29522822331
"37",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1998",1497.22131022875
"38",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1999",1643.14739223419
"39",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2000",1789.07347423963
"40",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2001",1934.99955624507
"41",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2002",2080.9256382505
"42",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2003",2226.85172025594
"43",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2004",2372.77780226138
"44",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2005",2518.70388426682
"45",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2006",2664.62996627226
"46",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2007",2810.5560482777
"47",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2008",2956.48213028313
"48",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2009",3102.40821228857
"49",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2010",3248.33429429401
"50",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2011",3394.26037629945
"51",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2012",3540.18645830489
"52",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2013",3686.11254031033
"53",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2014",3832.03862231576
"54",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2015",3977.9647043212
"55",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2016",4123.89078632664
"56",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2017",4269.81686833208
"57",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1990",329.812654185248
"58",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1991",475.738736190686
"59",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1992",621.664818196124
"60",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1993",767.590900201562
"61",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1994",913.516982207
"62",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1995",1059.44306421244
"63",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1996",1205.36914621788
"64",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1997",1351.29522822331
"65",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1998",1497.22131022875
"66",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1999",1643.14739223419
"67",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2000",1789.07347423963
"68",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2001",1934.99955624507
"69",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2002",2080.9256382505
"70",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2003",2226.85172025594
"71",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2004",2372.77780226138
"72",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2005",2518.70388426682
"73",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2006",2664.62996627226
"74",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2007",2810.5560482777
"75",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2008",2956.48213028313
"76",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2009",3102.40821228857
"77",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2010",3248.33429429401
"78",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2011",3394.26037629945
"79",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2012",3540.18645830489
"80",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2013",3686.11254031033
"81",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2014",3832.03862231576
"82",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2015",3977.9647043212
"83",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2016",4123.89078632664
"84",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2017",4269.81686833208
"85",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1990",329.812654185248
"86",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1991",475.738736190686
"87",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1992",621.664818196124
"88",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1993",767.590900201562
"89",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1994",913.516982207
"90",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1995",1059.44306421244
"91",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1996",1205.36914621788
"92",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1997",1351.29522822331
"93",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1998",1497.22131022875
"94",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","1999",1643.14739223419
"95",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2000",1789.07347423963
"96",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2001",1934.99955624507
"97",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2002",2080.9256382505
"98",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2003",2226.85172025594
"99",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2004",2372.77780226138
"100",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2005",2518.70388426682
"101",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2006",2664.62996627226
"102",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2007",2810.5560482777
"103",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2008",2956.48213028313
"104",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2009",3102.40821228857
"105",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2010",3248.33429429401
"106",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2011",3394.26037629945
"107",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2012",3540.18645830489
"108",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2013",3686.11254031033
"109",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2014",3832.03862231576
"110",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2015",3977.9647043212
"111",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2016",4123.89078632664
"112",33.92156,-78.02027,"Southport","North Carolina","Brunswick County","US","2017",4269.81686833208
"113",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","1990",331.582847964048
"114",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","1991",477.263546851286
"115",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","1992",622.944245738524
"116",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","1993",768.624944625762
"117",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","1994",914.305643513
"118",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","1995",1059.98634240024
"119",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","1996",1205.66704128748
"120",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","1997",1351.34774017471
"121",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","1998",1497.02843906195
"122",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","1999",1642.70913794919
"123",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2000",1788.38983683643
"124",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2001",1934.07053572367
"125",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2002",2079.7512346109
"126",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2003",2225.43193349814
"127",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2004",2371.11263238538
"128",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2005",2516.79333127262
"129",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2006",2662.47403015985
"130",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2007",2808.15472904709
"131",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2008",2953.83542793433
"132",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2009",3099.51612682157
"133",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2010",3245.1968257088
"134",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2011",3390.87752459604
"135",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2012",3536.55822348328
"136",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2013",3682.23892237052
"137",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2014",3827.91962125776
"138",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2015",3973.60032014499
"139",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2016",4119.28101903223
"140",34.03517,-77.8936,"Carolina Beach","North Carolina","New Hanover County","US","2017",4264.96171791947
"141",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","1990",337.441340349821
"142",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","1991",482.199645664616
"143",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","1992",626.95795097941
"144",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","1993",771.716256294205
"145",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","1994",916.474561609
"146",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","1995",1061.23286692379
"147",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","1996",1205.99117223859
"148",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","1997",1350.74947755338
"149",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","1998",1495.50778286818
"150",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","1999",1640.26608818297
"151",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","2000",1785.02439349777
"152",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","2001",1929.78269881256
"153",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","2002",2074.54100412736
"154",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","2003",2219.29930944215
"155",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","2004",2364.05761475695
"156",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","2005",2508.81592007174
"157",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","2006",2653.57422538654
"158",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","2007",2798.33253070133
"159",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","2008",2943.09083601612
"160",34.49544,-77.55497,"Holly Ridge","North Carolina","Onslow County","US","2009",3087.84914133092
