,KEY,DATETIME,ID,NAME,Wind_Speed_24,VMAX,LAT,LON,PER,SHRD,D200,RHLO,SDBT,POT,PC2,SHRD2,SHRG,DIVC,U200,EPSS,ENSS,TPWC,PC1,SDBT2,TBMX,RSST,storm name,landfall date,damage ranke,current damage($ 2020),base damage,landfall state,category,winds(MPH)
0,ALBE-1982,1982-06-02 12:00:00,AL011982,ALBE,50.0,20.0,21.7,-87.1,,26.4,64.0,70.0,,-103.0,,25.1,29.6,49.0,22.4,5.1,1.6,61.8,,,,28.0,,,,,,,,
1,ALBE-1982,1982-06-02 18:00:00,AL011982,ALBE,75.0,25.0,22.2,-86.5,,19.4,65.0,68.0,,-97.0,,21.6,30.2,45.0,18.7,4.8,2.0,61.9,,,,28.0,,,,,,,,
2,ALBE-1982,1982-06-03 00:00:00,AL011982,ALBE,65.0,30.0,22.6,-85.8,10.0,19.3,84.0,70.0,,-87.0,,18.6,29.8,75.0,16.9,5.2,1.8,61.0,,,,27.8,,,,,,,,
3,ALBE-1982,1982-06-03 06:00:00,AL011982,ALBE,55.0,40.0,22.8,-85.0,15.0,17.7,70.0,70.0,,-75.0,,22.1,36.2,88.0,17.9,4.8,1.8,60.3,,,,27.6,,,,,,,,
4,ALBE-1982,1982-06-03 12:00:00,AL011982,ALBE,45.0,50.0,23.2,-84.2,20.0,17.4,51.0,66.0,,-71.0,,24.3,34.0,60.0,20.9,2.2,2.2,61.5,,,,27.4,,,,,,,,
5,ALBE-1982,1982-06-03 18:00:00,AL011982,ALBE,40.0,75.0,24.0,-83.6,35.0,20.3,114.0,69.0,,-30.0,,25.5,32.8,125.0,22.1,4.2,2.3,58.8,,,,27.0,,,,,,,,
6,ALBE-1982,1982-06-04 00:00:00,AL011982,ALBE,30.0,65.0,24.8,-83.4,15.0,26.0,42.0,67.0,,-38.0,,26.3,39.6,48.0,23.4,4.1,2.1,54.1,,,,26.9,,,,,,,,
7,ALBE-1982,1982-06-04 06:00:00,AL011982,ALBE,25.0,55.0,24.9,-84.1,-20.0,23.2,27.0,67.0,,-56.0,,29.4,44.2,24.0,23.6,4.2,1.9,51.9,,,,27.2,,,,,,,,
8,ALBE-1982,1982-06-04 12:00:00,AL011982,ALBE,25.0,45.0,24.9,-84.8,-20.0,19.0,-7.0,68.0,,-68.0,,26.5,40.6,-24.0,22.1,5.0,1.8,50.3,,,,27.4,,,,,,,,
9,ALBE-1982,1982-06-04 18:00:00,AL011982,ALBE,25.0,40.0,25.0,-84.2,-15.0,10.2,8.0,68.0,,-64.0,,21.9,33.3,2.0,20.2,5.5,2.2,51.3,,,,27.2,,,,,,,,
10,ALBE-1982,1982-06-05 00:00:00,AL011982,ALBE,25.0,30.0,25.1,-84.1,-15.0,10.8,-17.0,69.0,,-73.0,,22.2,33.4,-29.0,22.9,4.6,2.0,52.6,,,,27.1,,,,,,,,
11,ALBE-1982,1982-06-05 06:00:00,AL011982,ALBE,25.0,25.0,25.2,-84.0,-15.0,12.1,-37.0,70.0,,-80.0,,23.5,39.0,-60.0,20.4,4.6,1.9,51.2,,,,27.1,,,,,,,,
12,ALBE-1982,1982-06-05 12:00:00,AL011982,ALBE,20.0,25.0,25.3,-83.9,-5.0,15.9,-48.0,68.0,,-82.0,,20.0,37.9,-58.0,17.8,4.8,1.9,51.8,,,,27.0,,,,,,,,
13,ALBE-1982,1982-06-05 18:00:00,AL011982,ALBE,,25.0,25.4,-83.6,0.0,13.2,-52.0,62.0,,-75.0,,17.6,35.2,-45.0,18.2,4.7,2.5,51.4,,,,26.9,,,,,,,,
14,ALBE-1982,1982-06-06 00:00:00,AL011982,ALBE,,25.0,25.5,-83.3,0.0,12.9,-25.0,59.0,,-70.0,,18.9,29.7,-23.0,19.5,5.3,2.3,50.3,,,,26.8,,,,,,,,
15,ALBE-1982,1982-06-06 06:00:00,AL011982,ALBE,,25.0,25.5,-83.0,0.0,17.5,-32.0,56.0,,-80.0,,23.3,34.8,-30.0,16.5,2.2,2.8,47.7,,,,26.7,,,,,,,,
16,ALBE-1982,1982-06-06 12:00:00,AL011982,ALBE,,20.0,25.5,-82.6,-5.0,27.1,-41.0,55.0,,-86.0,,23.7,37.8,-52.0,17.2,2.6,2.6,48.9,,,,26.6,,,,,,,,
17,BERY-1982,1982-08-28 12:00:00,AL031982,BERY,45.0,30.0,13.7,-22.2,,3.5,75.0,78.0,,-96.0,,6.2,22.2,62.0,-7.5,1.2,3.2,63.3,,,,27.3,,,,,,,,
18,BERY-1982,1982-08-28 18:00:00,AL031982,BERY,45.0,35.0,13.9,-22.7,,4.7,38.0,79.0,,-76.0,,5.5,21.3,40.0,-6.2,1.0,3.3,63.6,,,,27.2,,,,,,,,
19,BERY-1982,1982-08-29 00:00:00,AL031982,BERY,50.0,35.0,14.1,-23.6,5.0,6.5,45.0,80.0,,-70.0,,6.8,21.1,49.0,-7.1,1.0,3.2,65.0,,,,26.9,,,,,,,,
20,BERY-1982,1982-08-29 06:00:00,AL031982,BERY,50.0,40.0,14.5,-24.9,5.0,6.2,36.0,81.0,,-61.0,,6.0,21.5,14.0,-8.5,1.0,3.1,64.8,,,,26.6,,,,,,,,
21,BERY-1982,1982-08-29 12:00:00,AL031982,BERY,50.0,45.0,14.9,-26.3,10.0,4.2,31.0,80.0,,-52.0,,0.6,18.7,25.0,-9.0,0.7,3.3,64.9,,,,26.6,,,,,,,,
22,BERY-1982,1982-08-29 18:00:00,AL031982,BERY,55.0,45.0,15.3,-27.7,5.0,5.1,42.0,79.0,,-49.0,,5.1,16.9,51.0,-7.3,0.5,3.4,65.6,,,,26.6,,,,,,,,
23,BERY-1982,1982-08-30 00:00:00,AL031982,BERY,55.0,50.0,15.7,-29.1,5.0,10.0,76.0,76.0,,-39.0,,8.7,15.5,52.0,-9.7,0.6,3.3,64.0,,,,26.3,,,,,,,,
24,BERY-1982,1982-08-30 06:00:00,AL031982,BERY,60.0,50.0,16.0,-30.6,5.0,11.2,85.0,77.0,,-38.0,,11.2,16.2,108.0,-7.7,0.4,3.4,64.3,,,,26.1,,,,,,,,
25,BERY-1982,1982-08-30 12:00:00,AL031982,BERY,60.0,50.0,16.3,-32.1,0.0,5.0,72.0,73.0,,-28.0,,9.9,16.7,96.0,-9.6,0.0,3.8,64.7,,,,25.9,,,,,,,,
26,BERY-1982,1982-08-30 18:00:00,AL031982,BERY,60.0,55.0,16.7,-33.6,5.0,8.0,79.0,78.0,,-21.0,,10.9,18.4,77.0,-8.5,0.6,3.1,65.5,,,,25.8,,,,,,,,
27,BERY-1982,1982-08-31 00:00:00,AL031982,BERY,60.0,55.0,17.0,-35.0,5.0,11.5,89.0,79.0,,-28.0,,14.7,22.0,103.0,-4.5,1.2,2.8,64.5,,,,25.9,,,,,,,,
28,BERY-1982,1982-08-31 06:00:00,AL031982,BERY,60.0,60.0,17.2,-36.4,5.0,13.9,71.0,80.0,,-40.0,,19.7,25.9,83.0,0.7,1.6,2.8,62.7,,,,26.0,,,,,,,,
29,BERY-1982,1982-08-31 12:00:00,AL031982,BERY,60.0,60.0,17.7,-37.8,5.0,17.9,56.0,80.0,,-39.0,,22.0,27.4,51.0,3.0,1.9,2.7,62.8,,,,26.1,,,,,,,,
30,BERY-1982,1982-08-31 18:00:00,AL031982,BERY,60.0,60.0,18.0,-39.0,0.0,13.1,58.0,80.0,,-40.0,,20.2,29.1,36.0,3.6,1.9,2.5,62.0,,,,26.2,,,,,,,,
31,BERY-1982,1982-09-01 00:00:00,AL031982,BERY,55.0,60.0,18.3,-40.0,0.0,14.2,56.0,81.0,,-46.0,,19.8,30.2,51.0,3.6,2.4,2.4,60.7,,,,26.4,,,,,,,,
32,BERY-1982,1982-09-01 06:00:00,AL031982,BERY,45.0,60.0,18.6,-40.9,0.0,17.5,40.0,80.0,,-51.0,,21.4,31.3,22.0,9.2,2.6,2.4,58.9,,,,26.5,,,,,,,,
33,BERY-1982,1982-09-01 12:00:00,AL031982,BERY,35.0,60.0,18.8,-41.7,0.0,21.3,37.0,78.0,,-48.0,,22.4,29.3,29.0,11.8,2.0,2.6,58.6,,,,26.5,,,,,,,,
34,BERY-1982,1982-09-01 18:00:00,AL031982,BERY,30.0,60.0,19.0,-42.4,0.0,15.2,33.0,78.0,,-48.0,,18.2,24.7,12.0,9.6,2.1,2.7,57.7,,,,26.5,,,,,,,,
35,BERY-1982,1982-09-02 00:00:00,AL031982,BERY,30.0,55.0,19.2,-43.2,-5.0,11.6,18.0,77.0,,-56.0,,17.9,25.1,9.0,8.8,2.3,2.7,55.0,,,,26.6,,,,,,,,
36,BERY-1982,1982-09-02 06:00:00,AL031982,BERY,30.0,45.0,19.4,-44.1,-15.0,12.6,19.0,71.0,,-70.0,,18.1,25.5,31.0,9.8,2.1,2.6,54.9,,,,26.7,,,,,,,,
37,BERY-1982,1982-09-02 12:00:00,AL031982,BERY,30.0,35.0,19.7,-45.1,-20.0,15.6,45.0,71.0,,-79.0,,17.3,23.8,61.0,8.1,2.0,2.8,55.7,,,,26.7,,,,,,,,
38,BERY-1982,1982-09-02 18:00:00,AL031982,BERY,30.0,30.0,19.9,-46.2,-15.0,22.9,8.0,69.0,,-83.0,,23.7,27.5,10.0,9.8,2.7,2.8,55.7,,,,26.8,,,,,,,,
39,BERY-1982,1982-09-03 00:00:00,AL031982,BERY,30.0,30.0,20.1,-47.4,-5.0,24.2,-4.0,65.0,,-85.0,,25.1,30.9,-7.0,10.6,2.5,2.8,55.4,,,,26.9,,,,,,,,
40,BERY-1982,1982-09-03 06:00:00,AL031982,BERY,30.0,30.0,20.1,-48.6,0.0,26.3,-19.0,62.0,,-94.0,,23.5,32.4,-29.0,11.8,2.6,2.7,54.1,,,,27.3,,,,,,,,
41,BERY-1982,1982-09-03 12:00:00,AL031982,BERY,30.0,30.0,20.0,-49.8,0.0,18.3,-11.0,59.0,,-97.0,,15.7,25.8,-6.0,5.1,2.7,2.7,54.4,,,,27.5,,,,,,,,
42,BERY-1982,1982-09-03 18:00:00,AL031982,BERY,30.0,30.0,20.0,-51.0,0.0,20.1,-9.0,60.0,,-98.0,,19.3,25.6,11.0,6.6,3.4,2.7,55.5,,,,27.7,,,,,,,,
43,BERY-1982,1982-09-04 00:00:00,AL031982,BERY,30.0,30.0,19.9,-51.9,0.0,22.4,-12.0,60.0,,-98.0,,22.5,28.1,-9.0,8.2,3.8,2.7,54.0,,,,27.8,,,,,,,,
44,BERY-1982,1982-09-04 06:00:00,AL031982,BERY,25.0,30.0,19.9,-52.9,0.0,23.5,-2.0,59.0,,-100.0,,24.5,31.5,2.0,11.5,3.6,2.7,52.9,,,,27.8,,,,,,,,
45,BERY-1982,1982-09-04 12:00:00,AL031982,BERY,25.0,30.0,19.8,-53.8,0.0,12.8,5.0,60.0,,-102.0,,17.4,26.4,24.0,5.9,3.4,2.7,53.8,,,,27.9,,,,,,,,
46,BERY-1982,1982-09-04 18:00:00,AL031982,BERY,30.0,30.0,19.7,-54.9,0.0,19.0,3.0,62.0,,-99.0,,19.5,25.2,21.0,7.2,4.8,2.6,55.4,,,,27.9,,,,,,,,
47,BERY-1982,1982-09-05 00:00:00,AL031982,BERY,30.0,30.0,19.6,-55.9,0.0,28.4,20.0,60.0,,-97.0,,26.9,33.0,24.0,12.4,5.1,2.6,52.3,,,,27.9,,,,,,,,
48,BERY-1982,1982-09-05 06:00:00,AL031982,BERY,30.0,25.0,19.4,-57.0,-5.0,23.2,31.0,60.0,,-104.0,,23.3,29.6,34.0,10.4,5.0,2.6,51.9,,,,28.0,,,,,,,,
49,BERY-1982,1982-09-05 12:00:00,AL031982,BERY,25.0,25.0,19.4,-58.3,-5.0,24.1,8.0,60.0,,-105.0,,23.6,31.1,16.0,9.8,4.9,2.7,51.6,,,,28.1,,,,,,,,
