,NAME,DATE_x,HOUR,VMAX,LAT,LON,MSLP,ID,DELV12,DELV24,DELV36,DELV48,PER,SHRD,D200,RHLO,PX30,SDBT,POT,RHCN,TPW,PC2,SHRD2,SHRG,DIVC,U200,EPSS,ENSS,TPWC,RSST,DATEs,MONTH_x,YEAR_x,DAY,TAR,DATETIME,KEY,storm name,landfall date,damage ranke,current damage($ 2020),base damage,State,category,winds(MPH),MONTH_y,DATE_y,Year,MONTHINT,intDay,intDate,GDP,population,LatInt,LonInt,grid_Lat,grid_Lon,GDPMER,popgpw,is_land,avg_GDPMER
0,ALIC,830818,0,95,28.4,-94.8,969.0,AL031983,-15.0,-60.0,-70.0,-75.0,20.0,2.0,15,60,58.0,11.20000017,-46,0,83,13.0,5.8,14.3,23.0,-3.1,7.0,5.5,60.5,29.8,19830818,08,1983,18,0,1983-01-18 00:08:00,ALIC-1983,Alicia,"Aug 18,1983",26,22330000000.0,3000000000.0,TX,3,115,Aug,18,1983,08,18,18,,,28,-95,29.0,-95.0,6.817195808999999,234143.4,False,6.817195808999999
1,DIAN,840913,0,85,33.8,-77.4,972.0,AL101984,-20.0,-40.0,-40.0,-30.0,-10.0,1.7,-41,53,87.0,10.60000016,-37,0,465,-23.0,5.4,11.0,-61.0,1.0,0.9,4.0,58.2,26.7,19840913,09,1984,13,0,1984-01-13 00:09:00,DIAN-1984,Diana,"Sep 13,1984",144,620000000.0,65000000.0,NC,2,110,Sep,13,1984,09,13,13,,,34,-77,34.0,-77.0,1.7673934519999999,72521.84,False,4.7481272005
2,DIAN,840913,12,65,34.0,-78.3,990.0,AL101984,-20.0,-20.0,-10.0,-5.0,-20.0,5.2,-21,53,60.0,12.90000019,-41,0,741,-15.0,8.3,12.0,-44.0,-0.1,0.0,7.1,56.4,26.7,19840913,09,1984,13,0,1984-01-13 12:09:00,DIAN-1984,Diana,"Sep 13,1984",144,620000000.0,65000000.0,NC,2,110,Sep,13,1984,09,13,13,,,34,-78,34.0,-78.0,7.7288609489999995,324247.6,True,4.7481272005
3,ELEN,850902,0,110,29.4,-85.9,953.0,AL051985,-10.0,-65.0,-85.0,-90.0,5.0,9.9,13,61,76.0,12.40000018,-45,0,212,-21.0,9.9,17.9,12.0,-5.5,3.4,3.3,61.1,29.4,19850902,09,1985,02,0,1985-01-02 00:09:00,ELEN-1985,Elena,"Sep 02,1985",67,5360000000.0,1250000000.0,MS,3,115,Sep,02,1985,09,2,2,,,29,-86,29.0,-86.0,0.239075092,13641.32,False,5.722243111
4,ELEN,850902,12,100,30.2,-88.8,959.0,AL051985,-55.0,-75.0,-80.0,-80.0,-10.0,11.9,2,59,75.0,12.00000018,-59,0,324,-19.0,13.1,22.1,-7.0,-5.0,0.1,4.7,61.5,29.3,19850902,09,1985,02,0,1985-01-02 12:09:00,ELEN-1985,Elena,"Sep 02,1985",67,5360000000.0,1250000000.0,MS,3,115,Sep,02,1985,09,2,2,,,30,-89,30.0,-89.0,11.20541113,560134.7,False,5.722243111
5,KATE,851121,0,105,26.8,-86.5,954.0,AL131985,-10.0,-25.0,-55.0,-65.0,0.0,18.7,66,75,92.0,10.00000015,15,0,0,-101.0,22.8,31.6,60.0,-1.3,0.0,5.2,58.1,25.7,19851121,11,1985,21,0,1985-01-21 00:11:00,KATE-1985,Kate,"Nov 21,1985",108,1800000000.0,300000000.0,FL,2,100,Nov,21,1985,11,21,21,,,27,-86,27.0,-83.0,44.29237152,1653082.0,False,14.923507234666667
6,KATE,851121,6,100,27.5,-86.6,961.0,AL131985,-15.0,-35.0,-55.0,-65.0,-5.0,12.8,110,69,88.0,12.90000019,17,0,236,-94.0,23.6,34.8,108.0,3.0,0.0,10.8,56.3,25.3,19851121,11,1985,21,0,1985-01-21 06:11:00,KATE-1985,Kate,"Nov 21,1985",108,1800000000.0,300000000.0,FL,2,100,Nov,21,1985,11,21,21,,,28,-87,29.0,-86.0,0.239075092,13641.32,False,14.923507234666667
7,KATE,851121,12,95,28.3,-86.5,965.0,AL131985,-15.0,-45.0,-55.0,-60.0,-10.0,15.9,93,69,91.0,12.10000018,18,0,553,-100.0,24.6,37.1,97.0,9.3,0.0,14.6,55.8,24.7,19851121,11,1985,21,0,1985-01-21 12:11:00,KATE-1985,Kate,"Nov 21,1985",108,1800000000.0,300000000.0,FL,2,100,Nov,21,1985,11,21,21,,,28,-86,29.0,-86.0,0.239075092,13641.32,False,14.923507234666667
8,BONN,860626,0,70,28.2,-92.9,999.0,AL021986,-5.0,-40.0,-50.0,-55.0,15.0,7.6,-16,67,45.0,17.00000025,-68,0,190,52.0,12.8,15.5,15.0,0.7,5.7,3.6,56.1,28.7,19860626,06,1986,26,0,1986-01-26 00:06:00,BONN-1986,Bonnie,"Jun 26,1986",239,7000000.0,2000000.0,TX,1,85,Jun,26,1986,06,26,26,,,28,-93,29.0,-93.0,0.724108913,34545.24,False,1.7077586225
9,BONN,860626,6,75,29.0,-93.7,995.0,AL021986,-40.0,-50.0,-55.0,-65.0,10.0,15.2,-36,65,39.0,19.00000028,-71,0,250,54.0,20.1,23.5,-17.0,1.5,3.8,3.2,55.1,28.6,19860626,06,1986,26,0,1986-01-26 06:06:00,BONN-1986,Bonnie,"Jun 26,1986",239,7000000.0,2000000.0,TX,1,85,Jun,26,1986,06,26,26,,,29,-94,29.0,-94.0,2.691408332,101560.3,False,1.7077586225
10,FLOR,880909,0,50,24.2,-89.2,992.0,AL071988,5.0,20.0,-20.0,-35.0,5.0,9.6,17,62,26.0,23.90000036,-100,0,358,87.0,5.2,15.0,24.0,0.1,0.5,3.5,67.2,28.8,19880909,09,1988,09,0,1988-01-09 00:09:00,FLOR-1988,Florence,"Sep 09,1988",244,2000000.0,2920000.0,LA,1,80,Sep,09,1988,09,9,9,,,24,-89,25.0,-82.0,0.413443389,12996.07,False,2.136375755
11,FLOR,880909,6,50,25.0,-89.2,991.0,AL071988,15.0,10.0,-30.0,-35.0,5.0,11.5,8,60,50.0,27.30000041,-85,0,584,-43.0,7.2,13.8,1.0,0.3,0.2,5.1,64.9,29.0,19880909,09,1988,09,0,1988-01-09 06:09:00,FLOR-1988,Florence,"Sep 09,1988",244,2000000.0,2920000.0,LA,1,80,Sep,09,1988,09,9,9,,,25,-89,26.0,-83.0,2.997841938,114606.1,False,2.136375755
12,FLOR,880909,12,55,26.1,-89.2,998.0,AL071988,15.0,-25.0,-40.0,-40.0,5.0,6.7,16,60,97.0,4.600000069,-75,0,741,-126.0,6.1,17.1,-33.0,3.5,0.0,7.0,65.7,29.0,19880909,09,1988,09,0,1988-01-09 12:09:00,FLOR-1988,Florence,"Sep 09,1988",244,2000000.0,2920000.0,LA,1,80,Sep,09,1988,09,9,9,,,26,-89,26.0,-83.0,2.997841938,114606.1,False,2.136375755
