STORM NAME,LANDFALL DATE,DAMAGE RANK,CURRENT DAMAGE ($ 2020),BASE DAMAGE ($),LANDFALL STATE,CATEGORY,WINDS(MPH)
Great Miami,"Sep 18,1926",1,"242,750,000,000","76,000,000",FL,4,145
Galveston,"Sep 08,1900",2,"171,510,000,000","30,000,000",TX,4,140
Katrina,"Aug 29,2005",3,"148,240,000,000","125,000,000,000",LA,3,125
Harvey,"Aug 25,2017",4,"132,690,000,000","125,000,000,000",TX,4,130
Galveston,"Aug 17,1915",5,"121,200,000,000","50,000,000",TX,4,130
Andrew,"Aug 24,1992",6,"87,220,000,000","24,000,000,000",FL,5,170
Sandy,"Oct 29,2012",7,"80,090,000,000","65,000,000,000",NY,1,75
Storm 11 in 1944,"Oct 19,1944",8,"78,840,000,000","63,000,000",FL,3,120
Donna,"Sep 10,1960",9,"73,410,000,000","300,000,000",FL,4,145
Lake Okeechobee,"Sep 16,1928",10,"63,830,000,000","25,000,000",FL,4,145
New England,"Sep 21,1938",11,"60,680,000,000","306,000,000",NY,3,120
Irma,"Sep 10,2017",12,"52,970,000,000","50,000,000,000",FL,4,130
Ike,"Sep 13,2008",13,"44,260,000,000","30,000,000,000",TX,2,110
Charley,"Aug 13,2004",14,"36,990,000,000","16,000,000,000",FL,4,150
Ivan,"Sep 16,2004",15,"36,910,000,000","20,500,000,000",AL,3,120
Hazel,"Oct 18,1954",16,"36,450,000,000","281,000,000",SC,4,145
Wilma,"Oct 24,2005",17,"33,410,000,000","19,000,000,000",FL,3,120
Diane,"Aug 19,1955",18,"31,030,000,000","600,000,000",NY,TS,65
Camille,"Aug 17,1969",19,"28,520,000,000","1,421,000,000",LA,5,190
Hugo,"Sep 21,1989",20,"27,430,000,000","7,000,000,000",SC,4,140
Storm 2 in 1949,"Aug 26,1949",21,"25,900,000,000","52,000,000",FL,4,130
Carol,"Aug 31,1954",22,"24,920,000,000","460,000,000",NY,3,120
Agnes,"Jun 22,1972",23,"24,490,000,000","2,000,000,000",NY,1,85
Rita,"Sep 24,2005",24,"23,110,000,000","18,500,000,000",LA,3,115
Dora,"Sep 09,1964",25,"22,720,000,000","250,000,000",FL,2,105
Alicia,"Aug 18,1983",26,"22,330,000,000","3,000,000,000",TX,3,115
Carla,"Sep 11,1961",27,"22,270,000,000","325,000,000",TX,4,145
Diane,"Aug 17,1955",28,"21,960,000,000","200,000,000",NC,1,85
Storm 4 in 1947,"Sep 17,1947",29,"21,770,000,000","31,000,000",FL,4,145
Allison,"Jun 05,2001",30,"21,700,000,000","8,500,000,000",TX,TS,50
